camis,dba,boro,street,zipcode,cuisine_description
50052857,AL-AQSA RESTAURANT,BRONX,STARLING AVE,10462,Bangladeshi
41247143,Luigi's Pizza,BROOKLYN,5 AVENUE,11220,Pizza
50068045,CURRY LEAF,STATEN ISLAND,CORSON AVE,10301,Asian
50014157,POLLO SABROSO RESTAURANT,BRONX,E 198TH ST,10458,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40396494,CORNER CAFE AND BAKERY,MANHATTAN,THIRD AVENUE,10128,American
41624260,ZENG'S RESTAURANT,BROOKLYN,FOURTH AVENUE,11232,Chinese
41000961,BLEECKER STREET PIZZA,MANHATTAN,7 AVENUE SOUTH,10014,Pizza
40367860,LB SPUMONI GARDENS,BROOKLYN,86 STREET,11223,Pizza/Italian
50072800,ROCHDALE CHICKEN AND FISH,QUEENS,GUY R BREWER BLVD,11434,Seafood
50059493,TILLY'S,BROOKLYN,BEDFORD AVE,11216,American
41694680,SUNNYSIDE BAGEL,QUEENS,QUEENS BOULEVARD,11104,Bagels/Pretzels
40396892,PARADISE ALLEY BAR,QUEENS,150 STREET,11355,American
41187546,STAGHORN STEAKHOUSE,MANHATTAN,WEST   36 STREET,10018,Steak
41031150,FIRST OASIS,BROOKLYN,4 AVENUE,11209,Mediterranean
50055697,INDIAN EXPRESS,MANHATTAN,W 154TH ST,10039,Indian
40649463,LA BOINA ROJA STEAK HOUSE,QUEENS,37 AVENUE,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40947943,WORLDS FAIR MARINA RESTAURANT & BANQUET,QUEENS,WORLDS FAIR MARINA,11368,Indian
40837500,OLD CASTLE PUB & RESTAURANT,MANHATTAN,WEST   54 STREET,10019,American
40394110,CRONIN & PHELAN PUB & RESTAURANT,QUEENS,BROADWAY,11103,Irish
41699341,TREADWELL PARK / BLACK HOUND,MANHATTAN,SOUTH END AVENUE,10280,Mexican
50033207,ISTANBUL TURKISH,BROOKLYN,86TH ST,11214,Turkish
50003427,SHOCHU AND TAPAS AYA,MANHATTAN,E 50TH ST,10022,Japanese
50043550,ZABKA,BROOKLYN,HALSEY ST,11233,Caf̩/Coffee/Tea
50072472,POKE BURRITO,QUEENS,30TH AVE,11103,Asian
41408131,CHRIS RESTAURANT,BROOKLYN,86 STREET,11214,Polish
50085906,JUKE BAR,MANHATTAN,E 12TH ST,10003,American
40607926,BISTRO LES AMIS,MANHATTAN,SPRING STREET,10012,French
50001620,SUNRISE BAKERY,BROOKLYN,11TH AVE,11219,Chinese
41569059,HOY WONG RESTAURANT,MANHATTAN,MOTT STREET,10013,Chinese
41224381,SIDECAR,BROOKLYN,5 AVENUE,11215,American
50007655,SUBWAY,BROOKLYN,NOSTRAND AVE,11225,Sandwiches/Salads/Mixed Buffet
50085255,YUNSHANG RICE NOODLE HOUSE,MANHATTAN,Bayard St,10013,Chinese
50036141,MY BAKERY NY,BROOKLYN,7TH AVE,11220,Bakery
50057912,BLACK TAP,MANHATTAN,W 55TH ST,10019,American
40751057,MAGUIRE'S PUBLIC HOUSE,QUEENS,ROOSEVELT AVENUE,11377,Irish
40395375,ILDA'S PLACE II,QUEENS,BAXTER AVENUE,11373,American
41349574,BURGER KING,QUEENS,MYRTLE AVENUE,11385,Hamburgers
50044563,QATHRA CAFE,BROOKLYN,CORTELYOU RD,11218,Caf̩/Coffee/Tea
40510301,EL VAQUERO BARRAS,BRONX,WEBSTER AVENUE,10458,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50034234,LATENS RESTAURANT,QUEENS,MERRICK BLVD,11434,Caribbean
50034302,WAFELS & DINGES,MANHATTAN,W 40TH ST,10018,Bakery
40557901,LA ISLA CUCHIFRITOS,BRONX,WESTCHESTER AVENUE,,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50035125,UPTOWN JUICE & VEG,MANHATTAN,E 125TH ST,10035,Caribbean
41169998,"TONY'S PIZZA, JERK CHICKEN AND FISH",BROOKLYN,UTICA AVENUE,11213,Caribbean
50014638,FAMILY GARDEN,BROOKLYN,DITMAS AVE,11218,Chinese
50015395,LAN LARB SOHO,MANHATTAN,CENTRE ST,10013,Thai
50077492,CAFE ZONA SUR,BROOKLYN,4TH AVE,11232,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40511169,THE CENTRAL BAR,MANHATTAN,EAST    9 STREET,10003,American
41404956,EL COYOTE RESTAURANT,QUEENS,NORTHERN BOULEVARD,11372,Mexican
41619116,PEDRO'S MEXICAN BAR & RESTAURANT,BROOKLYN,JAY STREET,11201,Mexican
50078693,Zenith Thai,QUEENS,FRESH POND RD,11385,Thai
50079182,PIZZA SECRET,BROOKLYN,5TH AVE,11217,Pizza
41060064,EN JAPANESE BRASSERIE,MANHATTAN,HUDSON STREET,10014,Japanese
50005665,WING HING CHINESE FOOD INC,BROOKLYN,FULTON ST,11216,Chinese
41627867,DAVIDSTEA,MANHATTAN,BLEECKER STREET,10014,Caf̩/Coffee/Tea
50044242,JUICE,MANHATTAN,E 33RD ST,10016,"Juice, Smoothies, Fruit Salads"
40387746,ROSEBANK TAVERN,STATEN ISLAND,BAY STREET,10305,American
41073072,LIBATION,MANHATTAN,LUDLOW STREET,10002,American
41265425,CHILI'S GRILL & BAR,QUEENS,COOPER AVENUE,11385,American
41681345,PUERTO PLATA RESTAURANT,QUEENS,JAMAICA AVENUE,11435,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40887208,ALMA,BROOKLYN,COLUMBIA STREET,11231,Mexican
50046787,EL RODEO,QUEENS,46TH ST,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50018726,HUI WEI CHINESE FOOD,BROOKLYN,56TH ST,11220,Chinese
41586126,NEW SPRING BOY CHINESE RESTAURANT,MANHATTAN,ALLEN STREET,10002,Chinese
50078930,SERGIO'S ON THE BLVD PIZZERIA,QUEENS,NORTHERN BLVD,11101,Pizza
50005772,NO 1 RESTAURANT,BROOKLYN,KNICKERBOCKER AVE,11207,Chinese
41555612,KINGSTON PIZZA,BROOKLYN,KINGSTON AVENUE,11225,Jewish/Kosher
41565416,SWEET BASIL,BROOKLYN,FRANKLIN AVENUE,11238,Thai
50059103,JIN FENG YUAN,BROOKLYN,8TH AVE,11220,Chinese
50071997,TANNAT WINE & CHEESE,MANHATTAN,BROADWAY,10040,American
50002771,PADISHAH RESTAURANT,BROOKLYN,AVE U,11229,Middle Eastern
50002105,ENERGY FUEL,BROOKLYN,FULTON STREET,11238,American
50073505,TASTY THAI,QUEENS,FOREST AVE,11385,Thai
50033540,EMPIRE EAST PAN ASIAN BISTRO,STATEN ISLAND,RICHMOND AVE,10314,Asian
50063488,EL BUEN SABOR,QUEENS,163RD ST,11432,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50072796,MEZCLA DE SABORES RESTAURANT,BRONX,OGDEN AVE,10452,Spanish
50087227,MI CASA LATINA,MANHATTAN,E 14TH ST,10003,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40545741,BOB'S STEAK & CHOP HOUSE,MANHATTAN,EAST   52 STREET,10022,American
50055985,MARCHE MADISON,MANHATTAN,1ST AVE,10016,American
50079475,SAKURA TOKYO,BROOKLYN,NOSTRAND AVE,11216,Japanese
50057630,TAQUERIA EL MAGUEY,BROOKLYN,4TH AVE,11232,Mexican
50059875,1ST MAMA RESTAURANT,BRONX,W TREMONT AVE,10453,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50064516,CROSS CULTURE KITCHEN,MANHATTAN,E 116TH ST,10029,African
41466316,OLIO E PIU,MANHATTAN,GREENWICH AVENUE,10014,Italian
41245794,EVILOLIVE PIZZA BAR,BROOKLYN,UNION AVENUE,11211,Pizza
40577204,IMPERIAL BIKER BAR,BROOKLYN,FRANKLIN AVENUE,11238,American
41697391,STAR KABAB & CHINESE RESTAURANT,QUEENS,HILLSIDE AVENUE,11432,Bangladeshi
41636384,BELL DINER,QUEENS,73 AVENUE,11364,American
41659848,LA BRISA DEL CIBAO,QUEENS,103 STREET,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50001103,DECIMO,MANHATTAN,10TH AVE,10019,American
41642243,TANGRA MASALA,QUEENS,GRAND AVE,11373,Asian
41477830,RESIDENCE INN TIMES SQUARE,MANHATTAN,6 AVENUE,10018,American
50018468,SAVOUR SICHUAN,MANHATTAN,W 39TH ST,10018,Chinese
50061356,EL-RAWSHEH,QUEENS,STEINWAY ST,11103,Middle Eastern
41216379,EASTERN BLOC / Club Cumming,MANHATTAN,EAST    6 STREET,10009,American
41719517,TORST,BROOKLYN,MANHATTAN AVENUE,11222,American
40808118,BAR TABAC,BROOKLYN,SMITH STREET,11201,French
41104041,THE SPARROW TAVERN,QUEENS,29 STREET,11102,American
40536599,OLIVE TREE,MANHATTAN,BROADWAY,10018,American
50037328,PADOCA BAKERY,MANHATTAN,E 68TH ST,10065,Bakery
40754984,SOPHIE'S RESTAURANT(Entrance on 73 New Street),MANHATTAN,BROADWAY,10004,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41525152,"DUNKIN' DONUTS, BASKIN ROBBINS",QUEENS,HILLSIDE AVENUE,11432,Donuts
41645250,MANDARIN HOUSE,BROOKLYN,FLATBUSH AVENUE,11234,Chinese
50054794,THE BASAC,QUEENS,NORTHERN BLVD,11358,Korean
50056216,DIVYA'S KITCHEN,MANHATTAN,1ST AVE,10003,Vegetarian
41712479,THE SHADY LADY,QUEENS,30 AVENUE,11103,American
50035961,DONG HAI,BROOKLYN,7TH AVE,11220,Chinese
41035072,THE KETTLE BLACK,BROOKLYN,3 AVENUE,11209,American
41722563,PLACE TO BEACH CANTINA,BROOKLYN,BOARDWALK WEST,11224,American
50085326,GUPSHUP,MANHATTAN,E 18TH ST,10003,Indian
50003346,BOMBAY SANDWICH CO,MANHATTAN,W. 27TH STREET,10001,Vegetarian
41418301,THE SMILE,MANHATTAN,BOND STREET,10012,Mediterranean
50078323,DE MOLE,BROOKLYN,HOPE ST,11211,Mexican
50041720,GRILL 21,MANHATTAN,E 21ST ST,10010,Filipino
41679646,GREENWICH VILLAGE COMEDY CLUB,MANHATTAN,MACDOUGAL STREET,10012,American
40961620,JK BAKERY,QUEENS,UNION STREET,11354,Bagels/Pretzels
50074604,HUANG MING HING,BROOKLYN,AVENUE P,11204,Chinese
50059993,SEAMORE'S,MANHATTAN,8TH AVE,10011,American
50033491,COMMONS CAFE,BROOKLYN,ATLANTIC AVE,11217,American
40366938,LULU'S COFFEE SHOP,BRONX,CASTLE HILL AVENUE,10462,Caf̩/Coffee/Tea
40557912,KISMAT INDIAN CUISINE,MANHATTAN,FORT WASHINGTON AVENUE,10040,Indian
41571341,STIX RESTAURANT,QUEENS,QUEENS BOULEVARD,11375,Jewish/Kosher
50088092,EL BUFFALITO GRILL,BROOKLYN,NEW UTRECHT AVE,11219,Mexican
50045785,CANTINE,BROOKLYN,UNION ST,11231,American
40596377,LOS PAPIS RESTAURANT,BROOKLYN,BRIDGE STREET,11201,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50067220,PROJECT COZY,MANHATTAN,BROOME ST,10013,"Juice, Smoothies, Fruit Salads"
50001258,LOCANDA MARIELLA,BROOKLYN,6 AVENUE,11215,Italian
40786910,BOSTON MARKET,QUEENS,NORTHERN BOULEVARD,11358,Chicken
41274441,THE CREEK AND THE CAVE,QUEENS,JACKSON AVENUE,11101,Mexican
50079234,NICK'S KITCHEN,QUEENS,24TH AVE,11360,American
50068094,MI VISABUELO CHIMI,BROOKLYN,FULTON ST,11208,Spanish
41621807,WEI WEST/BEANS & GREENS,MANHATTAN,NORTH END AVENUE,10282,Asian
41622444,NEW RAINBOW CHINESE RESTAURANT,BRONX,EAST TREMONT AVENUE,10457,Chinese
50069363,JI XING RESTAURANT,BRONX,BAILEY AVE,10463,Chinese
40655520,CASA,MANHATTAN,BEDFORD STREET,10014,Brazilian
41162067,CHEF YU / AZUKI,MANHATTAN,8 AVENUE,10018,Chinese
50045038,DUNKIN DONUTS,STATEN ISLAND,RICHMOND AVENUE,10314,Donuts
50060700,BKLYN CAKE STUDIO,BROOKLYN,7TH AVE,11215,Bakery
41701052,GREEN CAFE,MANHATTAN,LEXINGTON AVENUE,10128,American
41687950,THE PHUNKY ELEPHANT,STATEN ISLAND,BAY STREET,10305,American
40801855,PLAYWRIGHT CELTIC PUB,MANHATTAN,WEST   49 STREET,10019,Irish
41264671,BROTHER JIMMY'S BBQ,MANHATTAN,8 AVENUE,10001,Barbecue
50048905,BRONX DRAFTHOUSE,BRONX,GERARD AVE,10452,American
50087866,HUA LONG RESTAURANT,BROOKLYN,FULTON ST,11217,Chinese
40700664,PHO BANG RESTAURANT,MANHATTAN,MOTT STREET,10013,Vietnamese/Cambodian/Malaysia
50087526,THAI HOUSE CUISINE,QUEENS,METROPOLITAN AVE,11418,Thai
50007193,624 KAM HAI CHINESE FOOD,BROOKLYN,CATON AVE,11218,Chinese
41614202,BEVACCO RESTAURANT/BINC,BROOKLYN,HENRY STREET,11201,Italian
41495141,EL CERITO RESTAURANT,BRONX,ELDER AVENUE,,Mexican
50058578,MELT SHOP,MANHATTAN,4TH AVE,10003,Sandwiches
40595941,RED BOWL NOODLE SHOP,QUEENS,MAIN STREET,11354,Chinese
50045771,ASCENT LOUNGE,MANHATTAN,COLUMBUS CIR,10019,American
50056855,WOODSIDE RAINBOW BAKERY,QUEENS,61ST ST,11377,Bakery
50056824,HUNDRED TASTE,QUEENS,MAIN ST,11355,Chinese
50064268,SHU JIAO FUZHOUESE CUISINE,MANHATTAN,ELDRIDGE ST,10002,Chinese
41633093,EL CERRITO DEL CARMEN RESTAURANT,BROOKLYN,MCDONALD AVENUE,11223,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40390185,TRONO DE MEXICO,QUEENS,69 STREET,11377,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50000881,ROSARINA BAKERY,BRONX,BROADWAY,10463,Bakery
50012808,CALLE DAO,MANHATTAN,W 39TH ST,10018,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41608985,HEARTLAND BAGELS 11,STATEN ISLAND,ROSSVILLE AVENUE,10309,Caf̩/Coffee/Tea
50063750,THE CORNER SPOT,QUEENS,STEINWAY ST,11105,American
41572685,BROOKLYNS FINEST PIZZA & RESTAURANT,STATEN ISLAND,HYLAN BOULEVARD,10305,Pizza/Italian
50067554,290 WILD BAR,STATEN ISLAND,WILD AVE,10314,American
50015281,MALAYSIA GRILL,MANHATTAN,W 104TH ST,10025,Asian
50045318,DELICIOUS PIZZA CAFE,BRONX,W KINGSBRIDGE RD,10463,Pizza/Italian
50041984,SULTAN RESTAURANT AND CAFE LOUNGE,BROOKLYN,ATLANTIC AVE,11201,Middle Eastern
50047011,PITKINS FISH & CHICKEN,QUEENS,JAMAICA AVE,11421,Chicken
40881088,SODA BAR,BROOKLYN,VANDERBILT AVENUE,11238,American
50044732,MEI WEI RESTAURANT,BROOKLYN,BROADWAY,11211,Chinese
41426339,PIAZZA PIZZA & GRILL,MANHATTAN,3 AVENUE,10028,Pizza
41289484,GREEN AND ACKERMAN KOSHER DAIRY RESTAURANT & PIZZA,BROOKLYN,ROSS STREET,11211,Jewish/Kosher
41722813,PONCHE TAQUERIA,MANHATTAN,WEST   49 STREET,10019,Mexican
50058583,VEGGIES,BROOKLYN,NOSTRAND AVE,11225,"Juice, Smoothies, Fruit Salads"
50044869,Lamano,MANHATTAN,W 20TH ST,10011,Spanish
50043980,MADANIM,BROOKLYN,BEDFORD AVE,11205,Jewish/Kosher
50005981,AROMA DE CAFE BAKERY,QUEENS,BROADWAY,11373,Spanish
41324916,OTHELLO DELI,QUEENS,24 AVENUE,11102,Delicatessen
41690872,STUMPY'S SPOT,BROOKLYN,SARATOGA AVENUE,11212,Caribbean
41117553,EPISTROPHY CAFE,MANHATTAN,MOTT STREET,10012,Italian
50057467,PALACE FRIED CHICKEN,QUEENS,36TH AVE,11106,Chicken
40943583,THE PRESS BOX,MANHATTAN,2 AVENUE,10022,American
41477406,CIBAO RESTAURANT,QUEENS,NORTHERN BOULEVARD,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50033665,ABBA BAR AND GRILL,BROOKLYN,GRAND ST,11211,Tapas
40395505,PORTO PRINCE STAR RESTAURANT,QUEENS,LINDEN BOULEVARD,11411,Caribbean
41156192,LANTERN,BROOKLYN,MONTAGUE STREET,11201,Thai
41258209,NEW HONG KONG RESTAURANT II,BROOKLYN,CORTELYOU ROAD,11218,Chinese
50079530,The Calabash Experience,QUEENS,MERRICK BLVD,11413,Caribbean
50017823,THE HALAL GUYS,MANHATTAN,AMSTERDAM AVE,10025,Middle Eastern
50068124,STAX ICE CREAM,MANHATTAN,GRAND ST,10002,"Ice Cream, Gelato, Yogurt, Ices"
50008241,HEALTHY BITE,MANHATTAN,207 STREET,,American
50042179,FAYE & KINGS EXPRESS,BROOKLYN,SCHENECTADY AVE,11203,Caribbean
50073862,JOE & THE JUICE HUDSON ST,MANHATTAN,HUDSON ST,10014,Caf̩/Coffee/Tea
41217779,LITTLE ATLAS CAFE,MANHATTAN,WEST    4 STREET,10012,Caf̩/Coffee/Tea
50048574,BEST GARDEN CHINESE RESTAURANT,QUEENS,DOUGLASTON PKWY,11363,Chinese
40392496,TARTINE,MANHATTAN,WEST   11 STREET,10014,French
41256036,KINGSTON BAKE SHOP,BROOKLYN,KINGSTON AVENUE,11225,Jewish/Kosher
41011887,THE CITY BAKERY,MANHATTAN,WEST   18 STREET,10011,American
40394749,FINE & SCHAPIRO,MANHATTAN,WEST   72 STREET,10023,Jewish/Kosher
41418978,BAGEL EXPRESS III,MANHATTAN,3 AVENUE,10010,Bagels/Pretzels
40978159,CANDLE 79 RESTAURANT,MANHATTAN,EAST   79 STREET,10075,Vegetarian
50071468,COPPER THROAT,MANHATTAN,LUDLOW ST,10002,Thai
50050119,PATTIE HUT & GRILL,BROOKLYN,NOSTRAND AVE,11216,Caribbean
40393519,DOWN THE HATCH,MANHATTAN,WEST    4 STREET,10014,American
50072223,LULA BIRD,BROOKLYN,NOSTRAND AVE,11216,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50017015,AL HORNO LEAN MEXICAN,MANHATTAN,2ND AVE,10022,Mexican
50008244,TEN JIN XEING BEING RESTAURANT,QUEENS,MAIN ST,11355,Chinese
40998581,TRUMP CAFE & GRILL,MANHATTAN,5 AVENUE,10022,American
41703389,REGO PARK DELI & PASTRY,QUEENS,63 ROAD,11374,Delicatessen
50062908,NOODLES 28,MANHATTAN,3RD AVE,10016,Chinese
40938943,STARBUCKS COFFEE # 7851,MANHATTAN,PENN PLAZA,10119,Caf̩/Coffee/Tea
41694146,HU KITCHEN,MANHATTAN,5 AVENUE,10011,American
50066816,JUST FOR FEN,MANHATTAN,1ST AVE,10003,Chinese
50087479,LULU CHINESE,QUEENS,101ST AVE,11416,Chinese
50072808,CANELA COLOMBIAN RESTAURANT & BAKERY,BROOKLYN,5TH AVE,11220,Spanish
41091396,TEXAS STAR SNACK BAR,MANHATTAN,ST NICHOLAS AVENUE,10031,American
50015433,FRUCES,MANHATTAN,AMSTERDAM AVE,10031,"Juice, Smoothies, Fruit Salads"
50042592,PROMDI,QUEENS,ROOSEVELT AVE,11377,Filipino
41004578,BETTOLA,MANHATTAN,AMSTERDAM AVENUE,10024,Italian
41441326,KEG AND LANTERN TAVERN,BROOKLYN,NASSAU AVENUE,11222,Irish
41695803,MISS KOREA,MANHATTAN,WEST   32 STREET,10001,Korean
40610087,RUSSIAN VODKA ROOM,MANHATTAN,WEST   52 STREET,10019,Russian
50046726,CHIRPING CHICKEN,MANHATTAN,GRAND CENTRAL TERMINAL,10017,Chicken
41591382,CUPS AND CONES,QUEENS,ROCKAWAY BOULEVARD,11420,"Ice Cream, Gelato, Yogurt, Ices"
41305588,BUNNY DELI,MANHATTAN,ST NICHOLAS AVENUE,10033,Delicatessen
40594962,TRIBECA TAVERN,MANHATTAN,WEST BROADWAY,10013,American
50017619,SPICY TIBET,QUEENS,ROOSEVELT AVE,11372,Asian
50087107,,BROOKLYN,MANHATTAN AVE,11222,Other
41649614,CHEZ MOI,BROOKLYN,ATLANTIC AVENUE,11201,French
50068929,PARK VIEW CAFE,MANHATTAN,W 64TH ST,10023,Caf̩/Coffee/Tea
41301888,DON FRANCISCO RESTAURANT,QUEENS,JUNCTION BOULEVARD,11368,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41335405,RADISSON JFK - CONNECTIONS,QUEENS,140 STREET,11436,American
50080928,PICCOLO'S,BROOKLYN,BAY PKWY,11214,Pizza
41668300,GIRELLO,MANHATTAN,NORTH MOORE STREET,10013,Italian
41167181,BRIDIES BAR AND GRILL,QUEENS,WOODHAVEN BOULEVARD,11374,American
50056057,MITO ASIAN FUSION,QUEENS,108TH ST,11375,Japanese
50005295,LIVING ROOM RESTAURANT AND LOUNGE,BROOKLYN,AVENUE U,11223,Middle Eastern
50047690,KIRSH BAKERY AND KITCHEN,MANHATTAN,AMSTERDAM AVE,10024,American
41424557,BIG DADDY CARIBBEAN TASTE,BRONX,WHITE PLAINS ROAD,10470,Caribbean
50006488,CAFE TABACO & RON,MANHATTAN,W 214TH ST,10034,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50065649,AD HOC COLLECTIVE,MANHATTAN,CHRISTOPHER ST,10014,Caf̩/Coffee/Tea
41532950,CARVEL ICE CREAM,BROOKLYN,AVENUE N,11234,"Ice Cream, Gelato, Yogurt, Ices"
50061134,CHILLHOUSE,MANHATTAN,ESSEX ST,10002,Caf̩/Coffee/Tea
50045410,CHIDORI JAPANESE CUISINE,QUEENS,64TH AVE,11374,Japanese
50044774,"HAMBURGER/CELEBRITY CHEF, CHARLIE PALMER",MANHATTAN,PENN PLZ,10121,Hamburgers
41118090,REMI,MANHATTAN,WEST   53 STREET,10019,Italian
50061022,INDIAN TABLE,BROOKLYN,COURT ST,11201,Indian
41655130,BROADWAY CHINA STATION,QUEENS,31 STREET,11106,Chinese
40576196,MARIELLA PIZZA,MANHATTAN,LEXINGTON AVENUE,10021,Pizza
50042434,HOUSE OF YES,BROOKLYN,WYCKOFF AVE,11237,Middle Eastern
50044343,AYADA THAI RESTAURANT,QUEENS,WOODSIDE AVE,11373,Thai
50005556,SUMAC,STATEN ISLAND,FOREST AVE,10310,Mediterranean
50075877,AJI SUSHI & THAI,BROOKLYN,5TH AVE,11217,Asian
50072407,HILLTOP PERK CAFE,MANHATTAN,HAVEN AVE,10032,American
41574705,WENDY'S,BRONX,EAST TREMONT AVENUE,10461,Hamburgers
40566783,GRAND MORELOS DINER & BAKERY,BROOKLYN,GRAND STREET,11211,Mexican
50005345,MIKAKU,MANHATTAN,KENMARE ST,10012,Japanese
50015505,A SUSHI,QUEENS,AUSTIN ST,11375,Japanese
50080949,CAFE CINQ,MANHATTAN,PENN PLZ,10001,Delicatessen
50017631,NEW RED LANTERN,BROOKLYN,FORT HAMILTON PKWY,11219,Chinese
41674321,SUSHI X,QUEENS,NORTHERN BOULEVARD,11101,Japanese
40965496,"DUNKIN' DONUTS, BASKIN ROBBINS",BROOKLYN,AVENUE U,,Caf̩/Coffee/Tea
40393532,J.J. BUBBLES,BROOKLYN,THIRD AVENUE,11209,"Bottled beverages, including water, sodas, juices, etc."
41100006,PLAKA RESTAURANT,BROOKLYN,86 STREET,11209,Greek
50000372,EL MOLCAJETE RESTAURANT.,BRONX,WESTCHESTER AVE,10472,Spanish
50063851,AUTHENTIC NYC STREET FOOD,MANHATTAN,W 46TH ST,10036,Hotdogs/Pretzels
50001368,TEA FLOWER BAKERY,BROOKLYN,FORT HAMILTON PARKWAY,11219,Chinese
41302182,DELL'ANIMA,MANHATTAN,8 AVENUE,10014,Italian
41688265,UPPER SOUTH SUITE STOLI BAR AND STORAGE ROOM 5C29.03,BROOKLYN,ATLANTIC AVENUE,11217,American
41374594,"DUNKIN' DONUTS, BASKIN ROBBINS, SUBWAY",MANHATTAN,5 AVENUE,10001,Donuts
50010233,EL PUNTO COLUMBIANO RESTAURANTE BAKERY,QUEENS,COLLEGE POINT BLVD,11356,Spanish
41148666,CAFE DUKE,MANHATTAN,WEST   51 STREET,10020,American
50074932,TEN FULL RESTAURANT,QUEENS,48TH AVE,11104,Chinese
41688805,SALUTE KOSHER RESTAURANT,QUEENS,108 STREET,11375,Jewish/Kosher
41306250,SIDO GOURMET,MANHATTAN,2 AVENUE,10017,Mediterranean
50072616,SIDEWALK CAFE,MANHATTAN,COLUMBUS AVE,10023,American
40608767,NICKY'S PIZZA,BROOKLYN,BATH AVENUE,11214,Pizza/Italian
41408568,MOTHER BURGER,MANHATTAN,WEST   49 STREET,10019,Hamburgers
50070447,PAPA JOHN'S PIZZA,BRONX,3RD AVE,10456,Pizza
41681164,NUEVAS BRISAS DEL VALLE,QUEENS,37TH AVE,11372,Spanish
40717234,PINE BAR & GRILL,BRONX,EASTCHESTER ROAD,10461,Italian
50064481,TUNG SUM BAKERY,BROOKLYN,9TH AVE,11232,Bakery
41271801,PINO'S,BROOKLYN,5 AVENUE,11220,Pizza
41609113,NOORMAN'S KIL,BROOKLYN,GRAND STREET,11211,American
50073625,KRISPY KRUNCHY CHICKEN AND PIZZA,MANHATTAN,AMSTERDAM AVE,10027,Pizza
50057737,BLUE BOTTLE COFFEE,MANHATTAN,CLINTON ST,10002,Caf̩/Coffee/Tea
50011004,BRAVO AFRICAN RESTAURANT,BRONX,WESTCHESTER AVE,10472,African
50011393,A1 OCHA SUSHI,MANHATTAN,W 46TH ST,10036,Japanese
41583613,CHELSEA DELI,MANHATTAN,10 AVENUE,10001,Delicatessen
